Wall time,Step,Value
1776128136.9678981,420,226.0
1776128308.008232,425,1264.0
1776128460.7011104,430,343.0
1776128608.343566,435,41.0
1776128736.6511302,440,1149.0
1776128895.4805462,445,495.0
1776129014.2525969,450,350.0
1776129171.0971153,455,142.0
1776129306.354817,460,1221.0
1776129473.0481508,465,765.0
1776129608.721946,470,1810.0
1776129730.8521771,475,16.0
1776129868.90829,480,290.0
1776130040.93802,485,22.0
1776130197.380567,490,953.0
1776130364.7016559,495,2103.0
1776130525.295439,500,1387.0
1776130659.5177488,505,170.0
1776130789.700588,510,182.0
1776130926.2748885,515,152.0
1776131059.0019743,520,630.0
1776131193.3633356,525,81.0
1776131330.6469002,530,129.0
1776131470.5989127,535,229.0
1776131614.5261166,540,13.0
1776131754.5382657,545,853.0
1776131896.406129,550,211.0
1776132043.323097,555,39.0
1776132182.2327056,560,710.0
1776132319.4797878,565,202.0
1776132455.9229846,570,276.0
1776132606.2666082,575,1032.0
1776132752.1477153,580,15.0
1776132910.4922192,585,1142.0
1776133060.715115,590,46.0
1776133221.490451,595,355.0
1776133412.9869778,600,12.0
1776133581.5252352,605,1767.0
1776133712.329597,610,39.0
1776133902.8472986,615,233.0
1776134065.4129498,620,1.0
1776134200.9500306,625,750.0
1776134346.5269785,630,54.0
1776134521.3255572,635,1129.0
1776134651.975748,640,167.0
1776134792.9441366,645,475.0
1776134955.6105397,650,758.0
1776135104.1735082,655,472.0
1776135240.2909045,660,648.0
1776135380.6174006,665,1309.0
1776135539.2770479,670,8.0
1776135684.4144654,675,881.0
1776135830.9647624,680,458.0
1776135958.4338028,685,95.0
1776136094.83216,690,72.0
1776136233.6024675,695,40.0
1776136359.2606747,700,2.0
1776136475.391694,705,651.0
1776136589.4336407,710,1462.0
1776136700.353754,715,1146.0
1776136872.8937948,720,950.0
1776137020.5126302,725,944.0
1776137183.9186695,730,12.0
1776137340.3727598,735,342.0
1776137464.9268932,740,92.0
1776137588.0235827,745,629.0
1776137735.3902433,750,16.0
1776137865.3566768,755,1031.0
1776137993.5257661,760,278.0
1776138114.2227628,765,60.0
1776138233.977868,770,138.0
1776138537.8105664,775,511.0
1776139102.0850124,780,666.0
1776139585.4880693,785,1.0
1776140015.4792907,790,1010.0
1776140445.066519,795,828.0
1776140921.078489,800,194.0
1776141555.8149521,805,612.0
1776141978.2725208,810,453.0
1776142391.022688,815,69.0
1776142788.5507576,820,27.0
1776143090.164533,825,1847.0
1776143384.5689127,830,1018.0
1776144010.6218107,835,277.0
1776144485.4201517,840,255.0
1776144932.0764875,845,323.0
1776145381.9361818,850,185.0
1776145722.616203,855,227.0
1776146063.114381,860,1530.0
1776146399.700074,865,119.0
1776146832.3721726,870,84.0
1776147266.3121653,875,214.0
1776147677.677569,880,60.0
1776148079.4163258,885,634.0
1776148472.616877,890,45.0
1776148824.30739,895,650.0
1776149312.8007913,900,331.0
1776149915.5198789,905,538.0
1776150943.4472036,910,261.0
1776151710.0111666,915,204.0
1776152172.7559946,920,150.0
1776152305.3692071,925,1020.0
1776152976.6804163,930,72.0
1776153467.490112,935,98.0
1776153702.1893892,940,44.0
1776153992.613751,945,229.0
1776154606.9000769,950,212.0
1776154860.2731335,955,1287.0
1776154963.7471986,960,448.0
1776155061.5581481,965,394.0
1776155172.0307255,970,359.0
1776155272.9472713,975,772.0
1776155376.4370885,980,406.0
1776155471.7224483,985,1325.0
1776155569.9000325,990,205.0
1776155670.5044186,995,459.0
1776155769.341111,1000,7.0
1776155865.3799887,1005,1064.0
1776155963.8343415,1010,189.0
1776156069.108325,1015,619.0
1776156166.8021019,1020,33.0
1776156263.4763548,1025,285.0
1776156363.0301619,1030,352.0
1776156462.728677,1035,809.0
1776156556.4298766,1040,453.0
1776156651.96288,1045,16.0
1776156751.4684796,1050,205.0
1776156849.9748876,1055,1173.0
1776156944.9600344,1060,52.0
1776157041.0910904,1065,173.0
1776157143.2066412,1070,1444.0
1776157240.1053545,1075,74.0
1776157334.3001869,1080,343.0
1776157432.4629226,1085,249.0
1776157535.6656883,1090,647.0
1776157630.0681083,1095,1520.0
1776157727.994237,1100,220.0
1776157830.5343761,1105,181.0
1776157930.1003735,1110,1083.0
1776158024.5465746,1115,471.0
1776158123.3451414,1120,1808.0
1776158226.8049686,1125,159.0
1776158324.2801087,1130,666.0
1776158420.6769137,1135,89.0
1776158521.6896672,1140,6.0
1776158624.4937735,1145,1913.0
1776158719.5579894,1150,577.0
1776158819.0162735,1155,799.0
1776158921.0477586,1160,832.0
1776159019.2797818,1165,208.0
1776159114.896531,1170,150.0
1776159213.13394,1175,804.0
1776159314.462873,1180,860.0
1776159411.9195995,1185,339.0
1776159508.3149326,1190,72.0
1776159607.3879793,1195,284.0
1776159710.2259362,1200,11.0
1776159805.6485658,1205,106.0
1776159902.6277542,1210,69.0
1776160004.0721886,1215,41.0
1776160101.2728055,1220,756.0
1776160197.5418565,1225,678.0
1776160298.0846312,1230,826.0
1776160399.1525545,1235,27.0
1776160496.1453056,1240,1260.0
1776160591.546725,1245,992.0
1776160691.3145902,1250,7.0
1776160793.0965261,1255,175.0
1776160888.0662506,1260,116.0
1776160983.5945268,1265,1206.0
1776161086.1324797,1270,643.0
1776161185.4455855,1275,506.0
1776161281.0414712,1280,321.0
1776161382.3701444,1285,749.0
1776161487.0175385,1290,111.0
1776161582.623015,1295,1375.0
1776161682.811929,1300,6.0
1776161783.203221,1305,572.0
1776161885.6646354,1310,40.0
1776161980.083346,1315,181.0
1776162079.1151423,1320,1464.0
1776162180.666292,1325,827.0
1776162280.8174849,1330,647.0
1776162377.1862643,1335,110.0
1776162478.1544821,1340,296.0
1776162580.3907082,1345,265.0
1776162674.9692388,1350,740.0
1776162772.690972,1355,343.0
1776162874.6659412,1360,124.0
1776162972.861784,1365,941.0
1776163067.0357282,1370,46.0
1776163164.7008412,1375,243.0
1776163267.7059572,1380,801.0
1776163364.6223485,1385,248.0
1776163460.4919503,1390,2.0
1776163561.3251355,1395,1032.0
1776163663.7735584,1400,87.0
1776163760.52785,1405,43.0
1776163858.2790256,1410,981.0
1776163961.2593563,1415,597.0
1776164059.6312633,1420,262.0
1776164156.2217748,1425,1743.0
1776164256.4090354,1430,575.0
1776164359.340759,1435,41.0
1776164456.4760268,1440,1376.0
1776164552.418179,1445,552.0
1776164650.2459774,1450,359.0
