test_case,sampled_agents,replicate,num_agents,map_file,completed,steps,max_steps,error
empty-32-32-even-1_n20_run06,20,6,20,empty-32-32.map,True,1122,5000,
empty-32-32-even-1_n20_run07,20,7,20,empty-32-32.map,True,470,5000,
empty-32-32-even-1_n20_run08,20,8,20,empty-32-32.map,True,3562,5000,
empty-32-32-even-1_n20_run09,20,9,20,empty-32-32.map,True,335,5000,
empty-32-32-even-1_n20_run10,20,10,20,empty-32-32.map,True,3101,5000,
empty-32-32-even-1_n25_run01,25,1,25,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n25_run02,25,2,25,empty-32-32.map,True,3574,5000,
empty-32-32-even-1_n25_run03,25,3,25,empty-32-32.map,True,344,5000,
empty-32-32-even-1_n25_run04,25,4,25,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n25_run05,25,5,25,empty-32-32.map,True,2838,5000,
empty-32-32-even-1_n25_run06,25,6,25,empty-32-32.map,True,1518,5000,
empty-32-32-even-1_n25_run07,25,7,25,empty-32-32.map,True,2105,5000,
empty-32-32-even-1_n25_run08,25,8,25,empty-32-32.map,True,589,5000,
empty-32-32-even-1_n25_run09,25,9,25,empty-32-32.map,False,5000,5000,
