Wall time,Step,Value
1775876835.9948168,1165,841.0
1775876934.1118324,1170,219.0
1775877037.3925102,1175,12.0
1775877131.0578876,1180,18.0
1775877225.444706,1185,771.0
1775877326.5296173,1190,642.0
1775877423.2073882,1195,464.0
1775877518.694182,1200,910.0
1775877620.297021,1205,430.0
1775877718.0931952,1210,654.0
1775877817.9427319,1215,1335.0
1775877904.68813,1220,1.0
1775878007.1384242,1225,945.0
1775878110.4621038,1230,80.0
1775878202.5474782,1235,592.0
1775878295.867916,1240,1323.0
1775878392.4592636,1245,5.0
1775878492.4964633,1250,1419.0
1775878587.2606604,1255,1462.0
1775878682.945631,1260,893.0
1775878783.8761365,1265,783.0
1775878883.18809,1270,1320.0
1775878971.7570024,1275,1408.0
1775879074.611117,1280,152.0
1775879173.4986427,1285,1657.0
1775879269.1278188,1290,758.0
1775879359.3354664,1295,14.0
1775879457.4694638,1300,1292.0
1775879560.1024392,1305,71.0
1775879652.876895,1310,696.0
1775879746.7965276,1315,1444.0
1775879847.4111142,1320,781.0
1775879943.911967,1325,603.0
1775880037.5678942,1330,601.0
1775880138.7182877,1335,1279.0
1775880234.9679077,1340,370.0
1775880335.652663,1345,1401.0
1775880423.6163633,1350,769.0
1775880524.7840714,1355,1339.0
1775880628.3169901,1360,764.0
1775880722.4151597,1365,1324.0
1775880813.6676397,1370,707.0
1775880912.3482134,1375,762.0
1775881012.0327473,1380,753.0
1775881106.380665,1385,14.0
1775881202.4670556,1390,1423.0
1775881303.7760284,1395,1455.0
1775881402.737329,1400,129.0
1775881490.1860068,1405,616.0
1775881593.6939528,1410,129.0
1775881692.6638463,1415,1324.0
1775881789.5429535,1420,883.0
1775881882.0602632,1425,651.0
1775881979.223886,1430,512.0
1775882083.3515422,1435,1468.0
1775882176.1791935,1440,724.0
1775882270.0312169,1445,669.0
1775882370.847755,1450,1360.0
1775882467.9217067,1455,520.0
1775882557.8804934,1460,549.0
1775882658.0518816,1465,1537.0
1775882756.499205,1470,783.0
1775882856.0981028,1475,1451.0
1775882943.6335309,1480,110.0
1775883045.9874794,1485,1477.0
1775883148.845847,1490,414.0
1775883243.256803,1495,1299.0
1775883336.0820599,1500,90.0
1775883437.1553984,1505,1280.0
1775883604.8765807,1510,33.0
1775883777.241749,1515,16.0
1775883937.8961656,1520,1632.0
1775884099.779672,1525,1339.0
1775884266.239546,1530,1438.0
1775884431.584553,1535,19.0
1775884582.6948905,1540,53.0
1775884704.071602,1545,662.0
1775884874.7096374,1550,1335.0
1775885042.6153526,1555,658.0
1775885206.3388774,1560,935.0
1775885371.6316636,1565,58.0
1775885537.615783,1570,151.0
1775885705.2461078,1575,611.0
1775885869.1743946,1580,193.0
1775886036.4845173,1585,439.0
1775886204.2117095,1590,21.0
1775886365.3270159,1595,2326.0
1775886529.4777083,1600,1381.0
1775886695.1830032,1605,1280.0
1775886855.7080822,1610,218.0
1775887016.578035,1615,1387.0
1775887187.6722305,1620,867.0
1775887359.0592265,1625,781.0
1775887521.746484,1630,1323.0
1775887681.1063564,1635,1507.0
1775887843.6558092,1640,396.0
1775888004.6299942,1645,882.0
1775888164.8324149,1650,1461.0
1775888327.0561922,1655,138.0
1775888489.2990348,1660,106.0
1775888648.1069875,1665,64.0
1775888813.2624996,1670,119.0
1775888975.718089,1675,609.0
1775889134.6252968,1680,571.0
1775889295.2211592,1685,714.0
1775889457.8466969,1690,160.0
1775889625.3681433,1695,751.0
1775889787.4106884,1700,152.0
1775889921.041334,1705,475.0
1775890049.7469835,1710,544.0
1775890204.3394663,1715,758.0
1775890372.2744474,1720,1367.0
1775890535.7585883,1725,1447.0
1775890697.8169038,1730,1419.0
1775890857.3118727,1735,1010.0
1775891015.2927063,1740,145.0
1775891179.7919173,1745,1303.0
1775891340.3172488,1750,653.0
1775891500.2145188,1755,1373.0
1775891663.7615237,1760,89.0
1775891829.822945,1765,247.0
1775891991.649049,1770,5.0
1775892156.7426834,1775,77.0
1775892323.8327458,1780,611.0
1775892482.1610916,1785,1169.0
1775892645.74105,1790,775.0
1775892808.7375367,1795,74.0
1775892957.7940505,1800,1490.0
1775893074.6091805,1805,1370.0
1775893192.874101,1810,1294.0
1775893311.1348095,1815,1407.0
1775893427.3164957,1820,1152.0
1775893544.8972569,1825,615.0
1775893664.5288517,1830,126.0
1775893779.60408,1835,1045.0
1775893897.9867628,1840,507.0
1775894016.6078534,1845,746.0
1775894132.5066535,1850,1340.0
1775894247.7111037,1855,916.0
1775894364.101407,1860,1598.0
1775894480.566431,1865,689.0
1775894597.720171,1870,856.0
1775894722.330194,1875,1381.0
1775894845.6284618,1880,824.0
1775894988.1833344,1885,1029.0
1775895150.108048,1890,249.0
1775895308.8821125,1895,788.0
1775895468.7069027,1900,256.0
1775895630.3182483,1905,945.0
1775895794.8781292,1910,746.0
1775895955.980654,1915,1513.0
1775896115.1093738,1920,1580.0
1775896271.374621,1925,1484.0
1775896433.379377,1930,771.0
1775896594.9770246,1935,841.0
1775896755.2264187,1940,107.0
1775896917.0206215,1945,244.0
1775897084.2497795,1950,77.0
1775897253.8324783,1955,1304.0
1775897407.5154378,1960,82.0
1775897565.6818502,1965,768.0
1775897725.7096574,1970,13.0
1775897879.6512806,1975,1636.0
1775897980.809165,1980,626.0
1775898071.681959,1985,1253.0
1775898172.0206895,1990,93.0
1775898275.1397965,1995,78.0
1775898370.18582,2000,1350.0
1775898463.5919926,2005,749.0
1775898563.4507706,2010,444.0
1775898661.100618,2015,700.0
1775898756.7956452,2020,569.0
1775898858.0718327,2025,1362.0
1775898956.6391988,2030,676.0
1775899057.9479113,2035,1331.0
1775899145.0783513,2040,256.0
1775899247.2119582,2045,1013.0
1775899352.1203268,2050,773.0
1775899446.1107612,2055,1227.0
1775899539.649832,2060,418.0
1775899640.8756752,2065,814.0
1775899737.9139338,2070,1343.0
1775899835.569463,2075,910.0
1775899934.762325,2080,24.0
1775900033.7835472,2085,1302.0
1775900134.6763442,2090,29.0
1775900221.111003,2095,851.0
1775900325.1967893,2100,742.0
1775900429.7746575,2105,747.0
1775900523.7535775,2110,1334.0
1775900618.1642048,2115,1653.0
1775900716.56095,2120,267.0
1775900815.6493385,2125,1427.0
1775900912.7538455,2130,115.0
1775901011.5860295,2135,1389.0
1775901111.5822828,2140,1316.0
1775901213.247093,2145,1178.0
1775901299.1050487,2150,1521.0
1775901402.9959629,2155,357.0
1775901506.5154946,2160,676.0
1775901602.393117,2165,697.0
1775901699.141249,2170,1343.0
1775901799.2161837,2175,70.0
1775901898.1435504,2180,538.0
1775901994.6425192,2185,712.0
1775902093.6823268,2190,1813.0
1775902193.6908627,2195,642.0
1775902295.1572468,2200,1131.0
1775902384.4855015,2205,3.0
1775902486.7512236,2210,67.0
1775902590.332565,2215,200.0
1775902685.6791162,2220,592.0
1775902780.2834384,2225,973.0
1775902881.028879,2230,1466.0
1775902979.830395,2235,111.0
1775903077.1697378,2240,1420.0
1775903178.0182843,2245,193.0
1775903276.612818,2250,1331.0
1775903376.6328402,2255,740.0
1775903466.3751462,2260,8.0
1775903568.561406,2265,10.0
1775903672.6510353,2270,92.0
1775903767.2991235,2275,683.0
1775903862.6526253,2280,18.0
1775903963.262919,2285,1147.0
1775904060.3350945,2290,855.0
1775904156.1423304,2295,710.0
1775904255.7637513,2300,316.0
1775904353.4957716,2305,1781.0
1775904454.457281,2310,94.0
1775904541.9726098,2315,637.0
1775904645.9919004,2320,1414.0
1775904750.8262715,2325,33.0
1775904845.02643,2330,1328.0
1775904939.898398,2335,727.0
1775905038.788932,2340,1058.0
1775905137.4907248,2345,40.0
1775905236.463001,2350,840.0
1775905336.0487022,2355,386.0
1775905435.220613,2360,754.0
1775905535.6647987,2365,788.0
1775905624.302318,2370,645.0
1775905726.5595055,2375,1401.0
1775905830.604716,2380,173.0
1775905925.9327555,2385,1224.0
1775906018.9474552,2390,716.0
1775906117.9250998,2395,166.0
1775906216.5027642,2400,76.0
1775906313.4290297,2405,1301.0
1775906412.6558774,2410,654.0
1775906511.2875757,2415,464.0
1775906611.6880412,2420,1077.0
1775906697.332718,2425,781.0
1775906800.9225357,2430,1433.0
1775906904.334952,2435,1439.0
1775906998.9437675,2440,28.0
1775907092.5296547,2445,865.0
1775907190.3138828,2450,923.0
1775907290.8534248,2455,20.0
1775907386.7232914,2460,5.0
1775907483.7739315,2465,1129.0
1775907584.556421,2470,988.0
1775907685.1255705,2475,254.0
1775907774.2175605,2480,181.0
1775907879.0228324,2485,1260.0
1775907980.0230157,2490,1135.0
1775908076.754119,2495,1638.0
1775908169.735442,2500,1424.0
